Id,Ref,Label,Barcode,Warehouse,AcquisitionDate
1,REF-0001,Desktop Model A,BCODE0001,Main Warehouse,03-15
2,REF-0002,Monitor 24in,BCODE0002,Main Warehouse,04-01
3,REF-0003,Laptop Pro 13,BCODE0003,Branch A,11-20
4,REF-0004,Keyboard Mechanical,BCODE0004,Branch A,10-19
5,REF-0005,Mouse Optical,BCODE0005,Main Warehouse,07-22
6,REF-0006,Printer Laser,BCODE0006,Branch B,05-18
7,REF-0007,Scanner 2D,BCODE0007,Main Warehouse,01-10
8,REF-0008,Router X100,BCODE0008,Branch B,09-30
9,REF-0009,Access Point,BCODE0009,Branch C,02-14
10,REF-0010,Tablet 10in,BCODE0010,Main Warehouse,06-01
11,REF-0011,Projector,BCODE0011,Branch A,02-16
12,REF-0012,External HDD 2TB,BCODE0012,Main Warehouse,12-01
13,REF-0013,UPS 1500VA,BCODE0013,Branch C,07-14
14,REF-0014,Phone Desk,BCODE0014,Branch B,10-05
15,REF-0015,Webcam HD,BCODE0015,Main Warehouse,04-19
16,REF-0016,Microphone,BCODE0016,Main Warehouse,08-19
17,REF-0017,Surge Protector,BCODE0017,Branch A,01-13
18,REF-0018,Graphics Tablet,BCODE0018,Branch C,01-20
19,REF-0019,Cooling Fan,BCODE0019,Branch B,11-11
20,REF-0020,SSD 512GB,BCODE0020,Main Warehouse,09-09
21,REF-0021,RAM 16GB,BCODE0021,Main Warehouse,02-20
22,REF-0022,CPU i7,BCODE0022,Branch A,03-03
23,REF-0023,Motherboard Z,BCODE0023,Branch C,01-17
24,REF-0024,Power Supply,BCODE0024,Branch B,06-16
25,REF-0025,Laptop Bag,BCODE0025,Main Warehouse,12-12
26,REF-0026,HDMI Cable,BCODE0026,Main Warehouse,09-19
27,REF-0027,VGA Cable,BCODE0027,Branch A,10-20
28,REF-0028,USB Hub,BCODE0028,Branch B,11-05
29,REF-0029,SD Card 64GB,BCODE0029,Branch C,03-03
30,REF-0030,Adapter USB-C,BCODE0030,Main Warehouse,02-22
31,REF-0031,Laptop Dock,BCODE0031,Branch A,12-01
32,REF-0032,Monitor Stand,BCODE0032,Branch B,02-20
33,REF-0033,Label Printer,BCODE0033,Main Warehouse,01-15
34,REF-0034,Barcode Labels,BCODE0034,Main Warehouse,04-14
35,REF-0035,Test Asset 35,BCODE0035,Branch C,11-11
36,REF-0036,Test Asset 36,BCODE0036,Branch C,11-12
37,REF-0037,Test Asset 37,BCODE0037,,11-13
38,REF-0038,Test Asset 38,BCODE0038,,11-14
39,REF-0039,Test Asset 39,BCODE0039,Branch A,11-15
40,REF-0040,Test Asset 40,BCODE0040,Branch B,11-16
